comID,MolecularFormula,MolecularWeight,SMILES,IUPACName
CID5192,C10H18O4,202.25,C(CCCCC(=O)O)CCCC(=O)O,decanedioic acid
CID5565,C6H18N4,146.23,C(CNCCNCCN)N,"N'-[2-(2-aminoethylamino)ethyl]ethane-1,2-diamine"
CID5842,C10H12N2O3,208.21,C=CCC1(C(=O)NC(=O)NC1=O)CC=C,"5,5-bis(prop-2-enyl)-1,3-diazinane-2,4,6-trione"
CID5942,C6H17N3,131.22,C(CN)CNCCCN,"N'-(3-aminopropyl)propane-1,3-diamine"
CID6325,C2H4,28.05,C=C,ethene
CID6354,C2H4O,44.05,C1CO1,oxirane
CID6378,C3H6O,58.08,CC1CO1,2-methyloxirane
CID6492,C10H12,132.2,C1C=CC2C1C3CC2C=C3,"tricyclo[5.2.1.02,6]deca-3,8-diene"
CID6496,C4H6O2S,118.16,C=CS(=O)(=O)C=C,1-ethenylsulfonylethene
CID6502,C5H12O3,120.15,CC(CO)(CO)CO,"2-(hydroxymethyl)-2-methylpropane-1,3-diol"
CID6510,C6H14O3,134.17,CCC(CO)(CO)CO,"2-ethyl-2-(hydroxymethyl)propane-1,3-diol"
CID6557,C5H8,68.12,CC(=C)C=C,"2-methylbuta-1,3-diene"
CID6567,C3H10N2,74.13,CC(CN)N,"propane-1,2-diamine"
CID6570,C4H6O,70.09,CC(=O)C=C,but-3-en-2-one
CID6579,C3H5NO,71.08,C=CC(=O)N,prop-2-enamide
CID6581,C3H4O2,72.06,C=CC(=O)O,prop-2-enoic acid
CID6595,C4H7NO,85.1,CC(=C)C(=O)N,2-methylprop-2-enamide
CID6618,C15H12Br4O2,543.9,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br,"2,6-dibromo-4-[2-(3,5-dibromo-4-hydroxyphenyl)propan-2-yl]phenol"
CID6620,C17H20O2,256.34,CC1=C(C=CC(=C1)C(C)(C)C2=CC(=C(C=C2)O)C)O,4-[2-(4-hydroxy-3-methylphenyl)propan-2-yl]-2-methylphenol
CID6623,C15H16O2,228.29,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,4-[2-(4-hydroxyphenyl)propan-2-yl]phenol
CID6625,C12H8Cl2O2S,287.2,C1=CC(=CC=C1S(=O)(=O)C2=CC=C(C=C2)Cl)Cl,
CID6626,C12H10O4S,250.27,C1=CC(=CC=C1O)S(=O)(=O)C2=CC=C(C=C2)O,4-(4-hydroxyphenyl)sulfonylphenol
CID6658,C5H8O2,100.12,CC(=C)C(=O)OC,methyl 2-methylprop-2-enoate
CID6659,C4H5ClO2,120.53,COC(=O)C(=C)Cl,methyl 2-chloroprop-2-enoate
CID6678,C14H4O6,268.18,C1=CC2=C3C(=CC=C4C3=C1C(=O)OC4=O)C(=O)OC2=O,"6,13-dioxatetracyclo[6.6.2.04,16.011,15]hexadeca-1(15),2,4(16),8,10-pentaene-5,7,12,14-tetrone"
CID6738,C8H8O3,152.15,CC1=C(C(=CC=C1)C(=O)O)O,2-hydroxy-3-methylbenzoic acid
CID6749,C10H8O2,160.17,C1=CC2=C(C=CC=C2O)C(=C1)O,"naphthalene-1,5-diol"
CID6917,C6H9NO,111.14,C=CN1CCCC1=O,1-ethenylpyrrolidin-2-one
CID6928,C25H36O2,368.6,CCC1=CC(=C(C(=C1)C(C)(C)C)O)CC2=C(C(=CC(=C2)CC)C(C)(C)C)O,2-tert-butyl-6-[(3-tert-butyl-5-ethyl-2-hydroxyphenyl)methyl]-4-ethylphenol
CID6955,C8H4Cl2O2,203.02,C1=CC=C(C(=C1)C(=O)Cl)C(=O)Cl,"benzene-1,2-dicarbonyl chloride"
CID6966,C10H2O6,218.12,C1=C2C(=CC3=C1C(=O)OC3=O)C(=O)OC2=O,"furo[3,4-f][2]benzofuran-1,3,5,7-tetrone"
CID7039,C9H12O3,168.19,CC1=CC(=C(C(=C1)CO)O)CO,"2,6-bis(hydroxymethyl)-4-methylphenol"
CID7040,C9H6N2O2,174.16,CC1=C(C=CC=C1N=C=O)N=C=O,"1,3-diisocyanato-2-methylbenzene"
CID7064,C9H9N5,187.2,C1=CC=C(C=C1)C2=NC(=NC(=N2)N)N,"6-phenyl-1,3,5-triazine-2,4-diamine"
CID7071,C12H14N4,214.27,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)N)N)N,"4-(3,4-diaminophenyl)benzene-1,2-diamine"
CID7072,C16H12N2O2,264.28,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=C=O)C)N=C=O,1-isocyanato-4-(4-isocyanato-3-methylphenyl)-2-methylbenzene
CID7091,C10H8O2,160.17,C1=CC=C2C=C(C(=CC2=C1)O)O,"naphthalene-2,3-diol"
CID7112,C12H10O2,186.21,C1=CC(=CC=C1C2=CC=C(C=C2)O)O,4-(4-hydroxyphenyl)phenol
CID7218,C8H9N,119.16,C1C2CC(C1C=C2)C#N,bicyclo[2.2.1]hept-5-ene-2-carbonitrile
CID7272,C6H8O4,144.12,CC1C(=O)OC(C(=O)O1)C,"3,6-dimethyl-1,4-dioxane-2,5-dione"
CID7274,C7H10O2,126.15,CC(=C)C(=O)OCC=C,prop-2-enyl 2-methylprop-2-enoate
CID7276,C8H8O,120.15,C1C(O1)C2=CC=CC=C2,2-phenyloxirane
CID7294,C4H6O2,86.09,COC(=O)C=C,methyl prop-2-enoate
CID7302,C4H6O2,86.09,C1CC(=O)OC1,oxolan-2-one
CID7343,C6H10O2,114.14,CCOC(=O)C(=C)C,ethyl 2-methylprop-2-enoate
CID7352,C8H14O2,142.2,CC(C)COC(=O)C(=C)C,2-methylpropyl 2-methylprop-2-enoate
CID7354,C8H14O2,142.2,CCCCOC(=O)C(=C)C,butyl 2-methylprop-2-enoate
CID7355,C10H14O4,198.22,CC(=C)C(=O)OCCOC(=O)C(=C)C,2-(2-methylprop-2-enoyloxy)ethyl 2-methylprop-2-enoate
CID7407,C9H10,118.18,CC(=C)C1=CC=CC=C1,prop-1-en-2-ylbenzene
CID7451,C8H4Cl2O2,203.02,C1=CC(=CC(=C1)C(=O)Cl)C(=O)Cl,"benzene-1,3-dicarbonyl chloride"
CID7481,C8H7NO2,149.15,C=CC1=CC=C(C=C1)[N+](=O)[O-],1-ethenyl-4-nitrobenzene
CID7488,C8H4Cl2O2,203.02,C1=CC(=CC=C1C(=O)Cl)C(=O)Cl,"benzene-1,4-dicarbonyl chloride"
CID7489,C8H6O4,166.13,C1=CC(=CC=C1C(=O)O)C(=O)O,terephthalic acid
CID7493,C7H5NO4,167.12,C1=CC(=NC=C1C(=O)O)C(=O)O,"pyridine-2,5-dicarboxylic acid"
CID7499,C8H12,108.18,C=CC1CCC=CC1,4-ethenylcyclohexene
CID7501,C8H8,104.15,C=CC1=CC=CC=C1,styrene
CID7502,C7H7N,105.14,C=CC1=CC=NC=C1,4-ethenylpyridine
CID7521,C7H7N,105.14,C=CC1=CC=CC=N1,2-ethenylpyridine
CID7529,C9H10,118.18,CC1=CC(=CC=C1)C=C,1-ethenyl-3-methylbenzene
CID7543,C13H12Cl2N2,267.15,C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)Cl)Cl)N,4-[(4-amino-3-chlorophenyl)methyl]-2-chloroaniline
CID7555,C12H15N3O3,249.27,C=CCOC1=NC(=NC(=N1)OCC=C)OCC=C,"2,4,6-tris(prop-2-enoxy)-1,3,5-triazine"
CID7561,C10H16O2,168.23,CC(=C)C(=O)OC1CCCCC1,cyclohexyl 2-methylprop-2-enoate
CID7570,C15H10N2O2,250.25,C1=CC(=CC=C1CC2=CC=C(C=C2)N=C=O)N=C=O,1-isocyanato-4-[(4-isocyanatophenyl)methyl]benzene
CID7577,C13H14N2,198.26,C1=CC(=CC=C1CC2=CC=C(C=C2)N)N,4-[(4-aminophenyl)methyl]aniline
CID7579,C12H12N2O,200.24,C1=CC(=CC=C1N)OC2=CC=C(C=C2)N,4-(4-aminophenoxy)aniline
CID7612,C5H6,66.1,C1C=CC=C1,cyclopentadiene
CID7617,C9H15N,137.22,C=CCN(CC=C)CC=C,"N,N-bis(prop-2-enyl)prop-2-en-1-amine"
CID7636,C11H20O2,184.27,CCCCC(CC)COC(=O)C=C,2-ethylhexyl prop-2-enoate
CID7704,C8H14O2,142.2,CCCCC1CCC(=O)O1,5-butyloxolan-2-one
CID7735,C8H16O2,144.21,C1CC(CCC1CO)CO,[4-(hydroxymethyl)cyclohexyl]methanol
CID7742,C7H12O2,128.17,CCCC1CCC(=O)O1,5-propyloxolan-2-one
CID7750,C5H8O2,100.12,CCC(=O)OC=C,ethenyl propanoate
CID7768,C6H11NO,113.16,C1CCC(=O)NCC1,azepan-2-one
CID7777,C7H19N3,145.25,CN(CCCN)CCCN,"N'-(3-aminopropyl)-N'-methylpropane-1,3-diamine"
CID7814,C6H8N2,108.14,C1=CC(=CC=C1N)N,"benzene-1,4-diamine"
CID7819,C7H12O2,128.17,CC(C)COC(=O)C=C,2-methylpropyl prop-2-enoate
CID7825,C6H7NO2,125.13,C=CC(=O)OCCC#N,2-cyanoethyl prop-2-enoate
CID7832,C8H12O,124.18,C=CC1CCC2C(C1)O2,3-ethenyl-7-oxabicyclo[4.1.0]heptane
CID7834,C4H8O,72.11,CCC1CO1,2-ethyloxirane
CID7835,C3H5ClO,92.52,C1C(O1)CCl,2-(chloromethyl)oxirane
CID7836,C6H8O3,128.13,C=CC(=O)OCC1CO1,oxiran-2-ylmethyl prop-2-enoate
CID7837,C7H10O3,142.15,CC(=C)C(=O)OCC1CO1,oxiran-2-ylmethyl 2-methylprop-2-enoate
CID7838,C6H10O2,114.14,C=CCOCC1CO1,2-(prop-2-enoxymethyl)oxirane
CID7844,C4H8,56.11,CCC=C,but-1-ene
CID7845,C4H6,54.09,C=CC=C,"buta-1,3-diene"
CID7855,C3H3N,53.06,C=CC#N,prop-2-enenitrile
CID7858,C3H6O,58.08,C=CCO,prop-2-en-1-ol
CID7877,C7H13NO,127.18,CC(C)(C)NC(=O)C=C,N-tert-butylprop-2-enamide
CID7904,C4H6O2,86.09,CC(=O)OC=C,ethenyl acetate
CID7918,C4H6O3,102.09,CC(=O)OC(=O)C,acetic anhydride
CID7921,C5H8O2,100.12,CC1CCC(=O)O1,5-methyloxolan-2-one
CID7923,C4H2O3,98.06,C1=CC(=O)OC1=O,"furan-2,5-dione"
CID7924,C4H6O3,102.09,CC1COC(=O)O1,"4-methyl-1,3-dioxolan-2-one"
CID7935,C6H8N2,108.14,C1=CC(=CC(=C1)N)N,"benzene-1,3-diamine"
CID7979,C14H22O6,286.32,CC(=C)C(=O)OCCOCCOCCOC(=O)C(=C)C,2-[2-[2-(2-methylprop-2-enoyloxy)ethoxy]ethoxy]ethyl 2-methylprop-2-enoate
CID7980,C16H26O7,330.37,CC(=C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,2-[2-[2-[2-(2-methylprop-2-enoyloxy)ethoxy]ethoxy]ethoxy]ethyl 2-methylprop-2-enoate
CID7984,C16H30O2,254.41,C1CCCCCCCC(=O)OCCCCCCC1,oxacycloheptadecan-2-one
CID7992,C6H12O,100.16,CC(C)COC=C,1-ethenoxy-2-methylpropane
CID8009,C4H5N,67.09,C=CCC#N,but-3-enenitrile
CID8013,C3H8S2,108.23,C(CS)CS,"propane-1,3-dithiol"
CID8023,C4H8O,72.11,CCOC=C,ethenoxyethane
CID8031,C8H18O2,146.23,CC(C)(CCC(C)(C)O)O,"2,5-dimethylhexane-2,5-diol"
CID8041,C7H10N2O2,154.17,C=CC(=O)NCNC(=O)C=C,N-[(prop-2-enoylamino)methyl]prop-2-enamide
CID8074,C4H7ClO,106.55,C=COCCCl,1-chloro-2-ethenoxyethane
CID8105,C5H12O2,104.15,C(CCO)CCO,"pentane-1,5-diol"
CID8108,C6H12O,100.16,CCCCOC=C,1-ethenoxybutane
CID8111,C4H13N3,103.17,C(CNCCN)N,"N'-(2-aminoethyl)ethane-1,2-diamine"
CID8116,C5H10O2,102.13,C=CCOCCO,2-prop-2-enoxyethanol
CID8252,C3H6,42.08,CC=C,prop-1-ene
CID8255,C4H8,56.11,CC(=C)C,2-methylprop-1-ene
CID8265,C9H2Cl6O3,370.8,C12C(C(=O)OC1=O)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,"1,7,8,9,10,10-hexachloro-4-oxatricyclo[5.2.1.02,6]dec-8-ene-3,5-dione"
CID8266,C9H4Cl6O4,388.8,C1(C(C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)C(=O)O)C(=O)O,"1,4,5,6,7,7-hexachlorobicyclo[2.2.1]hept-5-ene-2,3-dicarboxylic acid"
CID8285,C5H12O4,136.15,C(C(CO)(CO)CO)O,"2,2-bis(hydroxymethyl)propane-1,3-diol"
CID8300,C4H8O,72.11,CC(=C)OC,2-methoxyprop-1-ene
CID8337,C12H12N2O6S2,344.4,C1=CC(=C(C=C1N)S(=O)(=O)O)C2=C(C=C(C=C2)N)S(=O)(=O)O,5-amino-2-(4-amino-2-sulfophenyl)benzenesulfonic acid
CID8372,C29H44O2,424.7,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,"2,6-ditert-butyl-4-[(3,5-ditert-butyl-4-hydroxyphenyl)methyl]phenol"
CID8398,C23H32O2,340.5,CC1=CC(=C(C(=C1)C(C)(C)C)O)CC2=C(C(=CC(=C2)C)C(C)(C)C)O,2-tert-butyl-6-[(3-tert-butyl-2-hydroxy-5-methylphenyl)methyl]-4-methylphenol
CID8411,C14H16N2O2,244.29,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)OC)N,4-(4-amino-3-methoxyphenyl)-2-methoxyaniline
CID8413,C14H16N2,212.29,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)C)N,4-(4-amino-3-methylphenyl)-2-methylaniline
CID8473,C7H8,92.14,C1C2C=CC1C=C2,"bicyclo[2.2.1]hepta-2,5-diene"
CID8484,C12H8Cl2O5S2,367.2,C1=CC(=CC=C1OC2=CC=C(C=C2)S(=O)(=O)Cl)S(=O)(=O)Cl,4-(4-chlorosulfonylphenoxy)benzenesulfonyl chloride
CID8496,C8H6O4,166.13,C1=CC(=CC(=C1)C(=O)O)C(=O)O,"benzene-1,3-dicarboxylic acid"
CID8557,C14H10N2O2,238.24,C1=CC2=C(C=C1N)C(=O)C3=C(C2=O)C=C(C=C3)N,"2,6-diaminoanthracene-9,10-dione"
CID8560,C14H14O4,246.26,C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,"bis(prop-2-enyl) benzene-1,2-dicarboxylate"
CID8569,C14H12O4,244.24,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2O)O,(2-hydroxy-4-methoxyphenyl)-(2-hydroxyphenyl)methanone
CID8570,C15H14O5,274.27,COC1=CC(=C(C=C1)C(=O)C2=C(C=C(C=C2)OC)O)O,bis(2-hydroxy-4-methoxyphenyl)methanone
CID8571,C13H10O5,246.21,C1=CC(=C(C=C1O)O)C(=O)C2=C(C=C(C=C2)O)O,"bis(2,4-dihydroxyphenyl)methanone"
CID8765,C12H12N2S,216.3,C1=CC(=CC=C1N)SC2=CC=C(C=C2)N,4-(4-aminophenyl)sulfanylaniline
CID8821,C5H8O2,100.12,CCOC(=O)C=C,ethyl prop-2-enoate
CID8846,C7H12O2,128.17,CCCCOC(=O)C=C,butyl prop-2-enoate
CID8872,C10H18O2,170.25,CCCCCCOC(=O)C(=C)C,hexyl 2-methylprop-2-enoate
CID8878,C10H18O2,170.25,CCCCCCC(=O)OCC=C,prop-2-enyl heptanoate
CID8906,C16H30O2,254.41,CCCCCCCCCCCCOC(=O)C(=C)C,dodecyl 2-methylprop-2-enoate
CID9161,C12H8,152.19,C1=CC2=C3C(=C1)C=CC3=CC=C2,acenaphthylene
CID9244,C5H8O,84.12,C1CC2C(C1)O2,6-oxabicyclo[3.1.0]hexane
CID9246,C6H10O,98.14,C1CCC2C(C1)O2,7-oxabicyclo[4.1.0]heptane
CID9309,C9H10,118.18,C=CCC1=CC=CC=C1,prop-2-enylbenzene
CID9348,C13H10O3,214.22,C1=CC=C(C=C1)C2=C(C(=CC=C2)C(=O)O)O,2-hydroxy-3-phenylbenzoic acid
CID9384,C10H30Cl4N4,348.2,C(CCNCCCN)CNCCCN.Cl.Cl.Cl.Cl,"N,N'-bis(3-aminopropyl)butane-1,4-diamine;tetrahydrochloride"
CID9398,C12H6F2N2O6S,344.25,C1=CC(=C(C=C1S(=O)(=O)C2=CC(=C(C=C2)F)[N+](=O)[O-])[N+](=O)[O-])F,1-fluoro-4-(4-fluoro-3-nitrophenyl)sulfonyl-2-nitrobenzene
CID9521,C2H10Cl2N2,133.02,C(CN)N.Cl.Cl,"ethane-1,2-diamine;dihydrochloride"
CID9532,C4H14Cl2N2,161.07,C(CCN)CN.Cl.Cl,"butane-1,4-diamine;dihydrochloride"
CID9582,C13H8F2O,218.2,C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)F)F,bis(4-fluorophenyl)methanone
CID9608,C6H7F3O2,168.11,CC(=C)C(=O)OCC(F)(F)F,"2,2,2-trifluoroethyl 2-methylprop-2-enoate"
CID10210,C14H10O4,242.23,C1=CC=C(C(=C1)C2=CC=CC=C2C(=O)O)C(=O)O,2-(2-carboxyphenyl)benzoic acid
CID10273,C7H5NO4,167.12,C1=CN=CC(=C1C(=O)O)C(=O)O,"pyridine-3,4-dicarboxylic acid"
CID10352,C7H10,94.15,C1CC2CC1C=C2,bicyclo[2.2.1]hept-2-ene
CID10365,C7H5NO4,167.12,C1=CN=C(C=C1C(=O)O)C(=O)O,"pyridine-2,4-dicarboxylic acid"
CID10366,C7H5NO4,167.12,C1=C(C=NC=C1C(=O)O)C(=O)O,"pyridine-3,5-dicarboxylic acid"
CID10367,C7H5NO4,167.12,C1=CC(=NC(=C1)C(=O)O)C(=O)O,"pyridine-2,6-dicarboxylic acid"
CID10401,C6H10O2,114.14,C1CCC(=O)OCC1,oxepan-2-one
CID10433,C6H12O2,116.16,C1CC(CC(C1)O)O,"cyclohexane-1,3-diol"
CID10442,C3H8O2,76.09,C(CO)CO,"propane-1,3-diol"
CID10459,C16H30O4,286.41,C(CCCCCCCC(=O)O)CCCCCCC(=O)O,hexadecanedioic acid
CID10566,C6H10,82.14,CC(=C)C(=C)C,"2,3-dimethylbuta-1,3-diene"
CID10679,C13H12N2,196.25,C1C2=C(C=CC(=C2)N)C3=C1C=C(C=C3)N,"9H-fluorene-2,7-diamine"
CID10902,C2H6S2,94.2,C(CS)S,"ethane-1,2-dithiol"
CID10949,C4H7N5,125.13,CC1=NC(=NC(=N1)N)N,"6-methyl-1,3,5-triazine-2,4-diamine"
CID10953,C5H8O2,100.12,C1CCOC(=O)C1,oxan-2-one
CID10970,C4H4Cl2O2,154.98,C(CC(=O)Cl)C(=O)Cl,butanedioyl dichloride
CID11138,C9H6O6,210.14,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,"benzene-1,3,5-tricarboxylic acid"
CID11162,C6H12O2,116.16,C1CC(CCC1O)O,"cyclohexane-1,4-diol"
CID11191,C5H10O,86.13,CCOCC=C,3-ethoxyprop-1-ene
CID11194,C6H10O,98.14,C=CCOCC=C,3-prop-2-enoxyprop-1-ene
CID11239,C5H10,70.13,CC(C)C=C,3-methylbut-1-ene
CID11254,C4H6O2,86.09,C1C(O1)C2CO2,2-(oxiran-2-yl)oxirane
CID11305,C10H8O2,160.17,C1=CC=C2C(=C1)C(=CC=C2O)O,"naphthalene-1,4-diol"
CID11335,C8H10O,122.16,CC1=C(C(=CC=C1)C)O,"2,6-dimethylphenol"
CID11397,C10H8O2,160.17,C1=CC(=CC2=C1C=CC(=C2)O)O,"naphthalene-2,7-diol"
CID11406,C10H10O2,162.18,C=CCOC(=O)C1=CC=CC=C1,prop-2-enyl benzoate
CID11443,C9H6N2O2,174.16,CC1=C(C=C(C=C1)N=C=O)N=C=O,"2,4-diisocyanato-1-methylbenzene"
CID11448,C8H14O2,142.2,CC(=C)C(=O)OC(C)(C)C,tert-butyl 2-methylprop-2-enoate
CID11471,C14H10N2O4,270.24,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,4-[(4-carboxyphenyl)diazenyl]benzoic acid
CID11506,C8H10O2,138.16,C1=CC(=CC=C1CO)CO,[4-(hydroxymethyl)phenyl]methanol
CID11584,C5H8O2,100.12,CC(=O)OCC=C,prop-2-enyl acetate
CID11598,C6H10,82.14,C=CCCC=C,"hexa-1,5-diene"
CID11617,C6H10S,114.21,C=CCSCC=C,3-prop-2-enylsulfanylprop-1-ene
CID11741,C12H12N2O2S,248.3,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=CC(=C2)N)N,3-(3-aminophenyl)sulfonylaniline
CID11904,C9H10,118.18,CC1=CC=CC=C1C=C,1-ethenyl-2-methylbenzene
CID12111,C13H12O2,200.23,C1=CC(=CC=C1CC2=CC=C(C=C2)O)O,4-[(4-hydroxyphenyl)methyl]phenol
CID12138,C14H16N2,212.29,C1=CC(=CC=C1CCC2=CC=C(C=C2)N)N,4-[2-(4-aminophenyl)ethyl]aniline
CID12161,C9H10,118.18,CC1=CC=C(C=C1)C=C,1-ethenyl-4-methylbenzene
CID12205,C6H10Cl2N2,181.06,C1=CC(=CC=C1N)N.Cl.Cl,"benzene-1,4-diamine;dihydrochloride"
CID12262,C5H12O2,104.15,CC(CC(C)O)O,"pentane-2,4-diol"
CID12374,C6H14O2,118.17,C(CCCO)CCO,"hexane-1,6-diol"
CID12381,C7H16O2,132.2,C(CCCO)CCCO,"heptane-1,7-diol"
CID12507,C9H10O,134.17,COC1=CC=C(C=C1)C=C,1-ethenyl-4-methoxybenzene
CID12713,C12H22O2,198.3,CCCCC(CC)COC(=O)C(=C)C,2-ethylhexyl 2-methylprop-2-enoate
CID12736,C12H22O4,230.3,C(CCCCCC(=O)O)CCCCC(=O)O,dodecanedioic acid
CID12756,C6H10O2,114.14,CCC1CCC(=O)O1,5-ethyloxolan-2-one
CID12757,C8H14,110.2,C=CC1CCCCC1,ethenylcyclohexane
CID12777,C8H14O2,142.2,CCCC1CCCC(=O)O1,6-propyloxan-2-one
CID12875,C12H12N2S2,248.4,C1=CC(=CC=C1N)SSC2=CC=C(C=C2)N,4-[(4-aminophenyl)disulfanyl]aniline
CID12974,C8H10O3,154.16,CC(=C)C(=O)OC(=O)C(=C)C,2-methylprop-2-enoyl 2-methylprop-2-enoate
CID12995,C4H8O2,88.11,C=COCCO,2-ethenoxyethanol
CID12998,C8H14O3,158.19,C=COCCOCCOC=C,1-ethenoxy-2-(2-ethenoxyethoxy)ethane
CID13036,C11H14,146.23,CC1=CC(=C(C(=C1)C)C=C)C,"2-ethenyl-1,3,5-trimethylbenzene"
CID13037,C9H8O2,148.16,C=COC(=O)C1=CC=CC=C1,ethenyl benzoate
CID13084,C14H10O4,242.23,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,4-(4-carboxyphenyl)benzoic acid
CID13128,C4H12N2,88.15,CC(C)(CN)N,"2-methylpropane-1,2-diamine"
CID13164,C10H18O2,170.25,CCCCCCCC(=O)OC=C,ethenyl octanoate
CID13165,C5H8O3,116.11,C=CC(=O)OCCO,2-hydroxyethyl prop-2-enoate
CID13185,C14H26O4,258.35,C(CCCCCCC(=O)O)CCCCCC(=O)O,tetradecanedioic acid
CID13192,C8H12N2O2,168.19,C(CCCN=C=O)CCN=C=O,"1,6-diisocyanatohexane"
CID13204,C6H10O2,114.14,CC1CCCC(=O)O1,6-methyloxan-2-one
CID13223,C9H8O3,164.16,C1C2C=CC1C3C2C(=O)OC3=O,"4-oxatricyclo[5.2.1.02,6]dec-8-ene-3,5-dione"
CID13283,C15H18N2,226.32,CC1=C(C=CC(=C1)CC2=CC(=C(C=C2)N)C)N,4-[(4-amino-3-methylphenyl)methyl]-2-methylaniline
CID13360,C6H10O3,130.14,CC(=C)C(=O)OCCO,2-hydroxyethyl 2-methylprop-2-enoate
CID13385,C3H2O3,86.05,C1=COC(=O)O1,"1,3-dioxol-2-one"
CID13518,C6H2F12O2,334.06,C(C(C(F)(F)F)(C(F)(F)F)O)(C(F)(F)F)(C(F)(F)F)O,"1,1,1,4,4,4-hexafluoro-2,3-bis(trifluoromethyl)butane-2,3-diol"
CID13539,C7H12O3,144.17,CC(COC(=O)C(=C)C)O,2-hydroxypropyl 2-methylprop-2-enoate
CID13543,C4H7NO2,101.1,C=CC(=O)NCO,N-(hydroxymethyl)prop-2-enamide
CID13581,C6H12O3,132.16,C=COCCOCCO,2-(2-ethenoxyethoxy)ethanol
CID13585,C20H40O,296.5,CCCCCCCCCCCCCCCCCCOC=C,1-ethenoxyoctadecane
CID13586,C4H6O,70.09,C=CC1CO1,2-ethenyloxirane
CID13589,C4H8O2,88.11,COCC1CO1,2-(methoxymethyl)oxirane
CID13601,C6H12O2,116.16,C1CCC(C(C1)O)O,"cyclohexane-1,2-diol"
